StudentID,CourseID,Semester
S001,C109,Fall2023
S001,C111,Fall2023
S002,C110,Fall2023
S002,C107,Fall2023
S002,C111,Fall2023
S003,C104,Fall2023
S003,C103,Fall2023
S003,C109,Fall2023
S004,C102,Fall2023
S004,C101,Fall2023
S004,C111,Fall2023
S005,C111,Fall2023
S005,C103,Fall2023
S006,C107,Fall2023
S006,C110,Fall2023
S006,C102,Fall2023
S006,C111,Fall2023
S007,C110,Fall2023
S007,C108,Fall2023
S007,C109,Fall2023
S008,C109,Fall2023
S008,C101,Fall2023
S008,C102,Fall2023
S009,C109,Fall2023
S009,C105,Fall2023
S009,C106,Fall2023
S009,C102,Fall2023
S010,C107,Fall2023
S010,C103,Fall2023
S010,C108,Fall2023
S011,C105,Fall2023
S011,C109,Fall2023
S012,C109,Fall2023
S012,C102,Fall2023
S013,C105,Fall2023
S013,C109,Fall2023
S013,C104,Fall2023
S013,C103,Fall2023
S014,C103,Fall2023
S014,C109,Fall2023
S014,C110,Fall2023
S015,C110,Fall2023
S015,C106,Fall2023
S016,C101,Fall2023
S016,C102,Fall2023
S016,C106,Fall2023
S017,C104,Fall2023
S017,C101,Fall2023
S017,C111,Fall2023
S018,C102,Fall2023
S018,C111,Fall2023
S018,C108,Fall2023
S018,C110,Fall2023
S019,C103,Fall2023
S019,C111,Fall2023
S019,C108,Fall2023
S019,C110,Fall2023
S020,C109,Fall2023
S020,C110,Fall2023
S020,C107,Fall2023
S021,C109,Fall2023
S021,C104,Fall2023
S022,C105,Fall2023
S022,C107,Fall2023
S022,C106,Fall2023
S022,C108,Fall2023
S023,C108,Fall2023
S023,C102,Fall2023
S023,C104,Fall2023
S023,C109,Fall2023
S024,C106,Fall2023
S024,C101,Fall2023
S025,C109,Fall2023
S025,C104,Fall2023
S025,C110,Fall2023
S025,C101,Fall2023
S026,C111,Fall2023
S026,C101,Fall2023
S027,C102,Fall2023
S027,C101,Fall2023
S028,C102,Fall2023
S028,C109,Fall2023
S028,C104,Fall2023
S029,C111,Fall2023
S029,C108,Fall2023
S029,C104,Fall2023
S030,C103,Fall2023
S030,C110,Fall2023
S030,C108,Fall2023
S030,C104,Fall2023
S031,C107,Fall2023
S031,C104,Fall2023
S031,C102,Fall2023
S032,C111,Fall2023
S032,C107,Fall2023
S033,C107,Fall2023
S033,C111,Fall2023
S033,C108,Fall2023
S034,C101,Fall2023
S034,C102,Fall2023
S034,C111,Fall2023
S034,C107,Fall2023
S035,C106,Fall2023
S035,C102,Fall2023
S035,C104,Fall2023
S035,C109,Fall2023
S036,C109,Fall2023
S036,C108,Fall2023
S037,C107,Fall2023
S037,C103,Fall2023
S038,C108,Fall2023
S038,C104,Fall2023
S038,C102,Fall2023
S039,C109,Fall2023
S039,C102,Fall2023
S039,C101,Fall2023
S040,C109,Fall2023
S040,C101,Fall2023
S040,C102,Fall2023
S040,C104,Fall2023
S041,C107,Fall2023
S041,C108,Fall2023
S042,C104,Fall2023
S042,C107,Fall2023
S042,C101,Fall2023
S043,C107,Fall2023
S043,C101,Fall2023
S044,C105,Fall2023
S044,C108,Fall2023
S044,C111,Fall2023
S045,C109,Fall2023
S045,C108,Fall2023
S045,C103,Fall2023
S046,C105,Fall2023
S046,C104,Fall2023
S047,C110,Fall2023
S047,C109,Fall2023
S048,C106,Fall2023
S048,C101,Fall2023
S049,C110,Fall2023
S049,C108,Fall2023
S050,C109,Fall2023
S050,C103,Fall2023
S050,C101,Fall2023
S050,C102,Fall2023
S051,C102,Fall2023
S051,C110,Fall2023
S052,C111,Fall2023
S052,C104,Fall2023
S053,C102,Fall2023
S053,C110,Fall2023
S053,C104,Fall2023
S054,C110,Fall2023
S054,C101,Fall2023
S054,C102,Fall2023
S054,C107,Fall2023
S055,C110,Fall2023
S055,C111,Fall2023
S055,C109,Fall2023
S055,C106,Fall2023
S056,C104,Fall2023
S056,C106,Fall2023
S056,C111,Fall2023
S057,C107,Fall2023
S057,C103,Fall2023
S057,C105,Fall2023
S058,C106,Fall2023
S058,C102,Fall2023
S058,C101,Fall2023
S059,C110,Fall2023
S059,C111,Fall2023
S059,C102,Fall2023
S060,C109,Fall2023
S060,C104,Fall2023
S061,C105,Fall2023
S061,C103,Fall2023
S061,C106,Fall2023
S061,C102,Fall2023
S062,C106,Fall2023
S062,C105,Fall2023
S063,C108,Fall2023
S063,C109,Fall2023
S064,C105,Fall2023
S064,C110,Fall2023
S064,C109,Fall2023
S064,C101,Fall2023
S065,C109,Fall2023
S065,C105,Fall2023
S065,C102,Fall2023
S065,C103,Fall2023
S066,C102,Fall2023
S066,C111,Fall2023
S066,C109,Fall2023
S067,C105,Fall2023
S067,C111,Fall2023
S068,C104,Fall2023
S068,C106,Fall2023
S068,C111,Fall2023
S068,C105,Fall2023
S069,C108,Fall2023
S069,C105,Fall2023
S069,C101,Fall2023
S069,C102,Fall2023
S070,C107,Fall2023
S070,C105,Fall2023
S070,C101,Fall2023
S070,C109,Fall2023
S071,C103,Fall2023
S071,C105,Fall2023
S071,C111,Fall2023
S072,C108,Fall2023
S072,C109,Fall2023
S072,C107,Fall2023
S072,C101,Fall2023
S073,C102,Fall2023
S073,C103,Fall2023
S074,C101,Fall2023
S074,C106,Fall2023
S074,C109,Fall2023
S074,C103,Fall2023
S075,C103,Fall2023
S075,C101,Fall2023
S075,C105,Fall2023
S076,C101,Fall2023
S076,C106,Fall2023
S076,C104,Fall2023
S077,C104,Fall2023
S077,C102,Fall2023
S077,C106,Fall2023
S077,C107,Fall2023
S078,C103,Fall2023
S078,C104,Fall2023
S078,C111,Fall2023
S078,C109,Fall2023
S079,C101,Fall2023
S079,C103,Fall2023
S079,C106,Fall2023
S080,C111,Fall2023
S080,C104,Fall2023
S080,C105,Fall2023
S081,C102,Fall2023
S081,C107,Fall2023
S082,C108,Fall2023
S082,C104,Fall2023
S083,C108,Fall2023
S083,C106,Fall2023
S084,C104,Fall2023
S084,C111,Fall2023
S084,C101,Fall2023
S085,C104,Fall2023
S085,C107,Fall2023
S085,C106,Fall2023
S085,C105,Fall2023
S086,C105,Fall2023
S086,C106,Fall2023
S087,C109,Fall2023
S087,C107,Fall2023
S087,C111,Fall2023
S087,C106,Fall2023
S088,C102,Fall2023
S088,C105,Fall2023
S089,C110,Fall2023
S089,C105,Fall2023
S090,C102,Fall2023
S090,C110,Fall2023
S091,C106,Fall2023
S091,C111,Fall2023
S091,C107,Fall2023
S092,C109,Fall2023
S092,C102,Fall2023
S092,C107,Fall2023
S092,C104,Fall2023
S093,C101,Fall2023
S093,C107,Fall2023
S093,C111,Fall2023
S094,C109,Fall2023
S094,C104,Fall2023
S094,C106,Fall2023
S094,C107,Fall2023
S095,C111,Fall2023
S095,C106,Fall2023
S096,C106,Fall2023
S096,C102,Fall2023
S096,C105,Fall2023
S096,C109,Fall2023
S097,C107,Fall2023
S097,C106,Fall2023
S097,C111,Fall2023
S097,C105,Fall2023
S098,C103,Fall2023
S098,C104,Fall2023
S098,C107,Fall2023
S098,C109,Fall2023
S099,C103,Fall2023
S099,C110,Fall2023
S099,C105,Fall2023
S099,C107,Fall2023
S100,C101,Fall2023
S100,C105,Fall2023
S100,C110,Fall2023
S100,C104,Fall2023
